SQLファイル名(.sqlを除く),x,y,対象期間項目名,規格適用開始期間(含む),規格適用終了期間(含む),品名(指定しない場合は'-'),規格Min,アラームMin,アラームMax,規格Max,hue(色分けを行わない場合は-),グラフタイトル,グラフタイトル,Y軸のLog表記を行うのであれば、TRUE,CHECK
MESA_EB-Width,STARTTIME,WidthAve.Average,STARTTIME,5/29/2021,1/1/2100,HL13B5,1.75,1.76,1.84,1.85,-,メサ形成 MESAEB描画ホト パターン幅_HL13B5,メサ形成 MESAEB描画ホト パターン幅_HL13B5,,OK
MESA_EB-Width,STARTTIME,WidthAve.Average,STARTTIME,1/1/2010,1/1/2100,HL13B6,1.75,1.76,1.84,1.85,-,メサ形成 MESAEB描画ホト パターン幅_HL13B6,メサ形成 MESAEB描画ホト パターン幅_HL13B6,,OK
MESA_EB-Width,STARTTIME,WidthAve.Average,STARTTIME,1/1/2010,1/1/2100,HL15B5,1.75,1.76,1.84,1.85,-,メサ形成 MESAEB描画ホト パターン幅_HL15B5,メサ形成 MESAEB描画ホト パターン幅_HL15B5,,OK
MESA_EB-Width,STARTTIME,WidthAve.Average,STARTTIME,1/1/2010,1/1/2100,HTL13B2,1.42,1.43,1.51,1.52,-,メサ形成 MESAEB描画ホト パターン幅_HTL13B2,メサ形成 MESAEB描画ホト パターン幅_HTL13B2,,OK
MESA_EB-Width,STARTTIME,WidthAve.Average,STARTTIME,1/1/2010,1/1/2100,HTL13D1,1.42,1.43,1.51,1.52,-,メサ形成 MESAEB描画ホト パターン幅_HTL13D1,メサ形成 MESAEB描画ホト パターン幅_HTL13D1,,OK
GRATING_CVD_EtchingRate,STARTTIME,Rate.Rate_Ave,STARTTIME,1/1/2010,1/1/2100,-,25,27,38,40,DryEtch,メサ形成 SiO2ドライエッチングレート,メサ形成 SiO2ドライエッチングレート,,OK
GRATING_CVD_EtchingRate,STARTTIME,Time.Time,STARTTIME,1/1/2010,1/1/2100,-,4,,,6,DryEtch,メサ形成 SiO2ドライエッチング時間,メサ形成 SiO2ドライエッチング時間,,OK
GRATING_CVD_Duty,STARTTIME,Average.Duty,STARTTIME,1/1/2010,1/1/2100,HL1362,,,,,-,回折格子形成 回折格子CVDエッチ Duty 面内分布平均_HL1362,回折格子形成 回折格子CVDエッチ Duty 面内分布平均_HL1362,,OK
GRATING_CVD_Duty,STARTTIME,Average.Duty,STARTTIME,1/1/2010,1/1/2100,HL1363,0.34,,,0.44,-,回折格子形成 回折格子CVDエッチ Duty 面内分布平均_HL1363,回折格子形成 回折格子CVDエッチ Duty 面内分布平均_HL1363,,OK
GRATING_CVD_Duty,STARTTIME,Average.Duty,STARTTIME,1/1/2010,1/1/2100,HL1364,,,,,-,回折格子形成 回折格子CVDエッチ Duty 面内分布平均_HL1364,回折格子形成 回折格子CVDエッチ Duty 面内分布平均_HL1364,,OK
